#时间: 20240829 164945
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 32.549999
#干涉仪湿度: 53.120510
#激光波长: 790.795181
#动镜速度: 7.5k
#增益: Default
#累积帧数: 16
#校正: 功率谱
#XUnit: cm-1
4000.0000 0.168240 
4006.1479 0.120265 
4012.2957 0.082394 
4018.4436 0.051878 
4024.5914 0.026294 
4030.7393 0.004909 
4036.8871 -0.013233 
4043.0350 -0.030494 
4049.1828 -0.047667 
4055.3307 -0.063780 
4061.4786 -0.078375 
4067.6264 -0.091699 
4073.7743 -0.104409 
4079.9221 -0.117419 
4086.0700 -0.130905 
4092.2178 -0.143893 
4098.3657 -0.155761 
4104.5135 -0.166867 
4110.6614 -0.177062 
4116.8093 -0.185701 
4122.9571 -0.192846 
4129.1050 -0.199052 
4135.2528 -0.204750 
4141.4007 -0.209956 
4147.5485 -0.214410 
4153.6964 -0.218175 
4159.8443 -0.221506 
4165.9921 -0.224441 
4172.1400 -0.226943 
4178.2878 -0.229009 
4184.4357 -0.230696 
4190.5835 -0.232037 
4196.7314 -0.232847 
4202.8792 -0.233064 
4209.0271 -0.232940 
4215.1750 -0.232656 
4221.3228 -0.232202 
4227.4707 -0.231480 
4233.6185 -0.230368 
4239.7664 -0.228864 
4245.9142 -0.227161 
4252.0621 -0.225709 
4258.2099 -0.225028 
4264.3578 -0.225200 
4270.5057 -0.225864 
4276.6535 -0.226614 
4282.8014 -0.227175 
4288.9492 -0.227435 
4295.0971 -0.227342 
4301.2449 -0.226833 
4307.3928 -0.225864 
4313.5406 -0.224454 
4319.6885 -0.222925 
4325.8364 -0.221888 
4331.9842 -0.221697 
4338.1321 -0.222211 
4344.2799 -0.223109 
4350.4278 -0.224260 
4356.5756 -0.225808 
4362.7235 -0.227837 
4368.8714 -0.230188 
4375.0192 -0.232682 
4381.1671 -0.235115 
4387.3149 -0.237323 
4393.4628 -0.239409 
4399.6106 -0.241644 
4405.7585 -0.244256 
4411.9063 -0.247362 
4418.0542 -0.251019 
4424.2021 -0.255316 
4430.3499 -0.260298 
4436.4978 -0.265846 
4442.6456 -0.271648 
4448.7935 -0.277244 
4454.9413 -0.282257 
4461.0892 -0.286566 
4467.2370 -0.290186 
4473.3849 -0.293146 
4479.5328 -0.295419 
4485.6806 -0.296953 
4491.8285 -0.297787 
4497.9763 -0.298050 
4504.1242 -0.297913 
4510.2720 -0.297544 
4516.4199 -0.297038 
4522.5677 -0.296463 
4528.7156 -0.295868 
4534.8635 -0.295252 
4541.0113 -0.294610 
4547.1592 -0.293916 
4553.3070 -0.293086 
4559.4549 -0.292091 
4565.6027 -0.291007 
4571.7506 -0.289967 
4577.8985 -0.289097 
4584.0463 -0.288446 
4590.1942 -0.288062 
4596.3420 -0.287980 
4602.4899 -0.288199 
4608.6377 -0.288787 
4614.7856 -0.289834 
4620.9334 -0.291297 
4627.0813 -0.293084 
4633.2292 -0.295078 
4639.3770 -0.297055 
4645.5249 -0.298802 
4651.6727 -0.300288 
4657.8206 -0.301628 
4663.9684 -0.302935 
4670.1163 -0.304246 
4676.2641 -0.305565 
4682.4120 -0.306820 
4688.5599 -0.307863 
4694.7077 -0.308610 
4700.8556 -0.309089 
4707.0034 -0.309389 
4713.1513 -0.309613 
4719.2991 -0.309825 
4725.4470 -0.310035 
4731.5948 -0.310227 
4737.7427 -0.310380 
4743.8906 -0.310501 
4750.0384 -0.310632 
4756.1863 -0.310826 
4762.3341 -0.311107 
4768.4820 -0.311423 
4774.6298 -0.311667 
4780.7777 -0.311796 
4786.9256 -0.311802 
4793.0734 -0.311662 
4799.2213 -0.311393 
4805.3691 -0.311025 
4811.5170 -0.310533 
4817.6648 -0.309893 
4823.8127 -0.309102 
4829.9605 -0.308167 
4836.1084 -0.307167 
4842.2563 -0.306280 
4848.4041 -0.305729 
4854.5520 -0.305693 
4860.6998 -0.306274 
4866.8477 -0.307519 
4872.9955 -0.309365 
4879.1434 -0.311678 
4885.2912 -0.314324 
4891.4391 -0.317159 
4897.5870 -0.320060 
4903.7348 -0.322907 
4909.8827 -0.325562 
4916.0305 -0.327993 
4922.1784 -0.330222 
4928.3262 -0.332188 
4934.4741 -0.333820 
4940.6219 -0.335104 
4946.7698 -0.336088 
4952.9177 -0.336859 
4959.0655 -0.337471 
4965.2134 -0.337911 
4971.3612 -0.338118 
4977.5091 -0.338038 
4983.6569 -0.337739 
4989.8048 -0.337342 
4995.9526 -0.336874 
5002.1005 -0.336309 
5008.2484 -0.335622 
5014.3962 -0.334829 
5020.5441 -0.334002 
5026.6919 -0.333178 
5032.8398 -0.332342 
5038.9876 -0.331449 
5045.1355 -0.330498 
5051.2834 -0.329579 
5057.4312 -0.328664 
5063.5791 -0.327684 
5069.7269 -0.326772 
5075.8748 -0.325936 
5082.0226 -0.324925 
5088.1705 -0.323665 
5094.3183 -0.322371 
5100.4662 -0.321142 
5106.6141 -0.319828 
5112.7619 -0.318429 
5118.9098 -0.317035 
5125.0576 -0.315365 
5131.2055 -0.313307 
5137.3533 -0.311194 
5143.5012 -0.308864 
5149.6490 -0.306264 
5155.7969 -0.304388 
5161.9448 -0.303615 
5168.0926 -0.302943 
5174.2405 -0.301738 
5180.3883 -0.300705 
5186.5362 -0.300658 
5192.6840 -0.300695 
5198.8319 -0.300325 
5204.9797 -0.301621 
5211.1276 -0.304236 
5217.2755 -0.305600 
5223.4233 -0.307811 
5229.5712 -0.312563 
5235.7190 -0.315914 
5241.8669 -0.317244 
5248.0147 -0.320493 
5254.1626 -0.325795 
5260.3105 -0.332381 
5266.4583 -0.340688 
5272.6062 -0.347344 
5278.7540 -0.350272 
5284.9019 -0.352597 
5291.0497 -0.356063 
5297.1976 -0.358746 
5303.3454 -0.360412 
5309.4933 -0.361894 
5315.6412 -0.361666 
5321.7890 -0.358155 
5327.9369 -0.352067 
5334.0847 -0.345991 
5340.2326 -0.343366 
5346.3804 -0.346032 
5352.5283 -0.352388 
5358.6761 -0.358131 
5364.8240 -0.359924 
5370.9719 -0.358901 
5377.1197 -0.358051 
5383.2676 -0.357798 
5389.4154 -0.357908 
5395.5633 -0.357655 
5401.7111 -0.355449 
5407.8590 -0.354013 
5414.0068 -0.355649 
5420.1547 -0.355786 
5426.3026 -0.352487 
5432.4504 -0.349003 
