#时间: 20240828 112607
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 28.010000
#干涉仪湿度: 55.218025
#激光波长: 790.553682
#动镜速度: 10k
#增益: Default
#累积帧数: 16
#校正: 功率谱
#XUnit: cm-1
4000.0000 -0.224175 
4006.1479 -0.224711 
4012.2957 -0.225570 
4018.4436 -0.227099 
4024.5914 -0.229391 
4030.7393 -0.232060 
4036.8871 -0.234802 
4043.0350 -0.237928 
4049.1828 -0.241717 
4055.3307 -0.245847 
4061.4786 -0.250096 
4067.6264 -0.254631 
4073.7743 -0.259499 
4079.9221 -0.264638 
4086.0700 -0.269984 
4092.2178 -0.275332 
4098.3657 -0.280467 
4104.5135 -0.285202 
4110.6614 -0.289357 
4116.8093 -0.292916 
4122.9571 -0.295923 
4129.1050 -0.298370 
4135.2528 -0.300346 
4141.4007 -0.301949 
4147.5485 -0.303174 
4153.6964 -0.304032 
4159.8443 -0.304557 
4165.9921 -0.304765 
4172.1400 -0.304725 
4178.2878 -0.304552 
4184.4357 -0.304303 
4190.5835 -0.303905 
4196.7314 -0.303236 
4202.8792 -0.302251 
4209.0271 -0.300991 
4215.1750 -0.299510 
4221.3228 -0.297892 
4227.4707 -0.296237 
4233.6185 -0.294550 
4239.7664 -0.292737 
4245.9142 -0.290805 
4252.0621 -0.289052 
4258.2099 -0.287876 
4264.3578 -0.287364 
4270.5057 -0.287239 
4276.6535 -0.287152 
4282.8014 -0.286901 
4288.9492 -0.286459 
4295.0971 -0.285803 
4301.2449 -0.284814 
4307.3928 -0.283419 
4313.5406 -0.281699 
4319.6885 -0.279928 
4325.8364 -0.278545 
4331.9842 -0.277888 
4338.1321 -0.277884 
4344.2799 -0.278222 
4350.4278 -0.278771 
4356.5756 -0.279644 
4362.7235 -0.280946 
4368.8714 -0.282605 
4375.0192 -0.284376 
4381.1671 -0.285996 
4387.3149 -0.287399 
4393.4628 -0.288783 
4399.6106 -0.290431 
4405.7585 -0.292485 
4411.9063 -0.294943 
4418.0542 -0.297870 
4424.2021 -0.301389 
4430.3499 -0.305448 
4436.4978 -0.309823 
4442.6456 -0.314273 
4448.7935 -0.318563 
4454.9413 -0.322483 
4461.0892 -0.325902 
4467.2370 -0.328736 
4473.3849 -0.330935 
4479.5328 -0.332503 
4485.6806 -0.333471 
4491.8285 -0.333900 
4497.9763 -0.333876 
4504.1242 -0.333473 
4510.2720 -0.332790 
4516.4199 -0.331984 
4522.5677 -0.331194 
4528.7156 -0.330435 
4534.8635 -0.329640 
4541.0113 -0.328781 
4547.1592 -0.327870 
4553.3070 -0.326901 
4559.4549 -0.325885 
4565.6027 -0.324853 
4571.7506 -0.323834 
4577.8985 -0.322922 
4584.0463 -0.322232 
4590.1942 -0.321799 
4596.3420 -0.321613 
4602.4899 -0.321742 
4608.6377 -0.322318 
4614.7856 -0.323396 
4620.9334 -0.324855 
4627.0813 -0.326492 
4633.2292 -0.328191 
4639.3770 -0.329905 
4645.5249 -0.331543 
4651.6727 -0.333002 
4657.8206 -0.334280 
4663.9684 -0.335503 
4670.1163 -0.336744 
4676.2641 -0.337921 
4682.4120 -0.338896 
4688.5599 -0.339573 
4694.7077 -0.339940 
4700.8556 -0.340084 
4707.0034 -0.340108 
4713.1513 -0.340068 
4719.2991 -0.340027 
4725.4470 -0.340050 
4731.5948 -0.340127 
4737.7427 -0.340187 
4743.8906 -0.340204 
4750.0384 -0.340248 
4756.1863 -0.340377 
4762.3341 -0.340551 
4768.4820 -0.340696 
4774.6298 -0.340771 
4780.7777 -0.340799 
4786.9256 -0.340790 
4793.0734 -0.340664 
4799.2213 -0.340377 
4805.3691 -0.339974 
4811.5170 -0.339461 
4817.6648 -0.338803 
4823.8127 -0.338018 
4829.9605 -0.337133 
4836.1084 -0.336211 
4842.2563 -0.335405 
4848.4041 -0.334899 
4854.5520 -0.334838 
4860.6998 -0.335322 
4866.8477 -0.336411 
4872.9955 -0.338110 
4879.1434 -0.340302 
4885.2912 -0.342796 
4891.4391 -0.345453 
4897.5870 -0.348122 
4903.7348 -0.350638 
4909.8827 -0.352943 
4916.0305 -0.355041 
