#时间: 20240902 141218
#方向: 正向
#光源电流: 0.002930
#干涉仪温度: 28.000000
#干涉仪湿度: 59.367676
#激光波长: 790.553151
#动镜速度: 7.5k
#增益: Default
#累积帧数: 4
#校正: 功率谱
#XUnit: cm-1
4000.0000 0.149472 
4006.1479 0.150270 
4012.2957 0.130297 
4018.4436 0.101460 
4024.5914 0.071489 
4030.7393 0.044422 
4036.8871 0.020418 
4043.0350 -0.002084 
4049.1828 -0.023770 
4055.3307 -0.044329 
4061.4786 -0.063664 
4067.6264 -0.082094 
4073.7743 -0.099775 
4079.9221 -0.116771 
4086.0700 -0.133224 
4092.2178 -0.148862 
4098.3657 -0.163385 
4104.5135 -0.177091 
4110.6614 -0.189974 
4116.8093 -0.201326 
4122.9571 -0.210948 
4129.1050 -0.219543 
4135.2528 -0.227651 
4141.4007 -0.235087 
4147.5485 -0.241621 
4153.6964 -0.247402 
4159.8443 -0.252533 
4165.9921 -0.257002 
4172.1400 -0.260965 
4178.2878 -0.264612 
4184.4357 -0.267899 
4190.5835 -0.270578 
4196.7314 -0.272552 
4202.8792 -0.274039 
4209.0271 -0.275169 
4215.1750 -0.275899 
4221.3228 -0.276325 
4227.4707 -0.276526 
4233.6185 -0.276444 
4239.7664 -0.276097 
4245.9142 -0.275602 
4252.0621 -0.275231 
4258.2099 -0.275308 
4264.3578 -0.275886 
4270.5057 -0.276774 
4276.6535 -0.277686 
4282.8014 -0.278358 
4288.9492 -0.278751 
4295.0971 -0.278944 
4301.2449 -0.278894 
4307.3928 -0.278469 
4313.5406 -0.277607 
4319.6885 -0.276547 
4325.8364 -0.275815 
4331.9842 -0.275759 
4338.1321 -0.276269 
4344.2799 -0.277083 
4350.4278 -0.278176 
4356.5756 -0.279685 
4362.7235 -0.281619 
4368.8714 -0.283899 
4375.0192 -0.286360 
4381.1671 -0.288656 
4387.3149 -0.290637 
4393.4628 -0.292578 
4399.6106 -0.294770 
4405.7585 -0.297319 
4411.9063 -0.300228 
4418.0542 -0.303505 
4424.2021 -0.307291 
4430.3499 -0.311637 
4436.4978 -0.316326 
4442.6456 -0.321098 
4448.7935 -0.325704 
4454.9413 -0.329854 
4461.0892 -0.333357 
4467.2370 -0.336238 
4473.3849 -0.338661 
4479.5328 -0.340660 
4485.6806 -0.342111 
4491.8285 -0.343026 
4497.9763 -0.343531 
4504.1242 -0.343695 
4510.2720 -0.343638 
4516.4199 -0.343543 
4522.5677 -0.343475 
4528.7156 -0.343344 
4534.8635 -0.343082 
4541.0113 -0.342737 
4547.1592 -0.342309 
4553.3070 -0.341708 
4559.4549 -0.340953 
4565.6027 -0.340184 
4571.7506 -0.339534 
4577.8985 -0.339061 
4584.0463 -0.338774 
4590.1942 -0.338731 
4596.3420 -0.338974 
4602.4899 -0.339469 
4608.6377 -0.340259 
4614.7856 -0.341419 
4620.9334 -0.342884 
4627.0813 -0.344546 
4633.2292 -0.346290 
4639.3770 -0.347974 
4645.5249 -0.349493 
4651.6727 -0.350813 
4657.8206 -0.352033 
4663.9684 -0.353294 
4670.1163 -0.354566 
4676.2641 -0.355687 
4682.4120 -0.356528 
4688.5599 -0.357076 
4694.7077 -0.357430 
4700.8556 -0.357659 
4707.0034 -0.357753 
4713.1513 -0.357731 
4719.2991 -0.357673 
4725.4470 -0.357660 
4731.5948 -0.357664 
4737.7427 -0.357587 
4743.8906 -0.357468 
4750.0384 -0.357421 
4756.1863 -0.357486 
4762.3341 -0.357639 
4768.4820 -0.357828 
4774.6298 -0.357988 
4780.7777 -0.358050 
4786.9256 -0.357950 
4793.0734 -0.357730 
4799.2213 -0.357455 
4805.3691 -0.357048 
4811.5170 -0.356424 
4817.6648 -0.355628 
4823.8127 -0.354761 
4829.9605 -0.353922 
4836.1084 -0.353135 
4842.2563 -0.352410 
4848.4041 -0.351869 
4854.5520 -0.351698 
4860.6998 -0.352034 
4866.8477 -0.352917 
4872.9955 -0.354328 
4879.1434 -0.356192 
4885.2912 -0.358316 
4891.4391 -0.360522 
4897.5870 -0.362772 
4903.7348 -0.364994 
4909.8827 -0.367075 
4916.0305 -0.368963 
4922.1784 -0.370589 
4928.3262 -0.371891 
4934.4741 -0.372917 
4940.6219 -0.373760 
4946.7698 -0.374430 
4952.9177 -0.374856 
4959.0655 -0.375040 
4965.2134 -0.375011 
4971.3612 -0.374739 
4977.5091 -0.374274 
4983.6569 -0.373684 
4989.8048 -0.372953 
4995.9526 -0.372157 
5002.1005 -0.371334 
5008.2484 -0.370384 
5014.3962 -0.369350 
5020.5441 -0.368353 
5026.6919 -0.367348 
5032.8398 -0.366273 
5038.9876 -0.365130 
5045.1355 -0.363931 
5051.2834 -0.362713 
5057.4312 -0.361522 
5063.5791 -0.360346 
5069.7269 -0.359162 
5075.8748 -0.357988 
5082.0226 -0.356846 
5088.1705 -0.355678 
5094.3183 -0.354412 
5100.4662 -0.353053 
5106.6141 -0.351642 
5112.7619 -0.350225 
5118.9098 -0.348790 
5125.0576 -0.347268 
5131.2055 -0.345707 
5137.3533 -0.344222 
5143.5012 -0.342799 
5149.6490 -0.341375 
5155.7969 -0.340142 
5161.9448 -0.339454 
5168.0926 -0.339254 
5174.2405 -0.339157 
5180.3883 -0.339249 
5186.5362 -0.339793 
5192.6840 -0.340511 
5198.8319 -0.341482 
5204.9797 -0.343489 
5211.1276 -0.346475 
5217.2755 -0.349691 
5223.4233 -0.353077 
5229.5712 -0.356758 
5235.7190 -0.360525 
5241.8669 -0.364392 
5248.0147 -0.368442 
5254.1626 -0.372589 
5260.3105 -0.376904 
5266.4583 -0.381227 
5272.6062 -0.384945 
5278.7540 -0.387893 
5284.9019 -0.390535 
5291.0497 -0.393068 
5297.1976 -0.395238 
5303.3454 -0.396933 
5309.4933 -0.398128 
5315.6412 -0.398610 
5321.7890 -0.398264 
5327.9369 -0.397388 
5334.0847 -0.396586 
5340.2326 -0.396660 
5346.3804 -0.398104 
5352.5283 -0.400192 
5358.6761 -0.401634 
5364.8240 -0.401928 
5370.9719 -0.401414 
5377.1197 -0.400748 
5383.2676 -0.400456 
5389.4154 -0.400567 
5395.5633 -0.400602 
5401.7111 -0.400109 
5407.8590 -0.399431 
5414.0068 -0.399294 
5420.1547 -0.399212 
5426.3026 -0.398343 
5432.4504 -0.397296 
5438.5983 -0.397006 
5444.7461 -0.397309 
5450.8940 -0.397653 
5457.0418 -0.397676 
5463.1897 -0.397427 
5469.3376 -0.397254 
5475.4854 -0.397304 
5481.6333 -0.397337 
5487.7811 -0.397105 
5493.9290 -0.396839 
5500.0768 -0.396713 
5506.2247 -0.396514 
5512.3725 -0.396239 
5518.5204 -0.396104 
5524.6683 -0.396106 
5530.8161 -0.396025 
5536.9640 -0.395762 
5543.1118 -0.395454 
5549.2597 -0.395242 
5555.4075 -0.395101 
5561.5554 -0.394916 
5567.7032 -0.394690 
5573.8511 -0.394487 
5579.9990 -0.394291 
5586.1468 -0.394098 
5592.2947 -0.393915 
5598.4425 -0.393734 
5604.5904 -0.393571 
5610.7382 -0.393414 
5616.8861 -0.393229 
5623.0339 -0.392974 
5629.1818 -0.392596 
5635.3297 -0.392150 
5641.4775 -0.391743 
5647.6254 -0.391368 
5653.7732 -0.390942 
5659.9211 -0.390454 
5666.0689 -0.390014 
5672.2168 -0.389700 
5678.3646 -0.389428 
5684.5125 -0.389110 
5690.6604 -0.388765 
5696.8082 -0.388449 
5702.9561 -0.388175 
5709.1039 -0.387890 
5715.2518 -0.387555 
5721.3996 -0.387214 
5727.5475 -0.386907 
5733.6954 -0.386622 
5739.8432 -0.386372 
5745.9911 -0.386172 
5752.1389 -0.386025 
5758.2868 -0.385903 
5764.4346 -0.385760 
5770.5825 -0.385608 
5776.7303 -0.385505 
5782.8782 -0.385489 
5789.0261 -0.385556 
5795.1739 -0.385671 
5801.3218 -0.385819 
5807.4696 -0.385969 
5813.6175 -0.386012 
5819.7653 -0.385897 
5825.9132 -0.385725 
5832.0610 -0.385608 
5838.2089 -0.385551 
5844.3568 -0.385476 
5850.5046 -0.385359 
5856.6525 -0.385302 
5862.8003 -0.385358 
5868.9482 -0.385475 
5875.0960 -0.385639 
5881.2439 -0.385869 
5887.3917 -0.386130 
5893.5396 -0.386384 
5899.6875 -0.386627 
5905.8353 -0.386897 
5911.9832 -0.387274 
5918.1310 -0.387802 
5924.2789 -0.388417 
5930.4267 -0.388976 
5936.5746 -0.389414 
5942.7225 -0.389794 
5948.8703 -0.390156 
5955.0182 -0.390477 
5961.1660 -0.390771 
5967.3139 -0.391091 
5973.4617 -0.391471 
5979.6096 -0.391875 
5985.7574 -0.392223 
5991.9053 -0.392484 
5998.0532 -0.392649 
6004.2010 -0.392714 
6010.3489 -0.392750 
6016.4967 -0.392804 
6022.6446 -0.392864 
6028.7924 -0.392926 
6034.9403 -0.392940 
6041.0881 -0.392837 
6047.2360 -0.392622 
6053.3839 -0.392359 
6059.5317 -0.392144 
6065.6796 -0.392044 
6071.8274 -0.391981 
6077.9753 -0.391836 
6084.1231 -0.391589 
6090.2710 -0.391308 
6096.4188 -0.391047 
6102.5667 -0.390824 
6108.7146 -0.390635 
6114.8624 -0.390445 
6121.0103 -0.390174 
6127.1581 -0.389821 
6133.3060 -0.389501 
6139.4538 -0.389267 
6145.6017 -0.389065 
6151.7496 -0.388855 
6157.8974 -0.388644 
6164.0453 -0.388405 
6170.1931 -0.388094 
6176.3410 -0.387740 
6182.4888 -0.387405 
6188.6367 -0.387128 
6194.7845 -0.386927 
6200.9324 -0.386721 
6207.0803 -0.386426 
6213.2281 -0.386104 
6219.3760 -0.385825 
6225.5238 -0.385557 
